# Question|Suggested answer
Wenn du ein Tier wärst, welches wärst du?|Ich wäre ein Delfin.
Wenn du fliegen könntest, wohin würdest du fliegen?|Ich würde nach Italien fliegen.
Was würdest du machen, wenn du unsichtbar wärst?|Ich würde meine Freunde überraschen.
Welches Superheldentalent hättest du gern?|Ich würde gern fliegen können.
Wenn dein Haustier sprechen könnte, was würde es sagen?|Es würde nach Futter fragen.
Welche lustige Erfindung würdest du bauen?|Ich würde eine Hausaufgabenmaschine bauen.
Wenn du einen Tag lang König oder Königin wärst, was würdest du tun?|Ich würde allen Kindern Eis geben.
Welches Essen könnte jeden Tag vom Himmel fallen?|Pizza könnte vom Himmel fallen.
Wenn du auf dem Mond wohnen würdest, was würdest du vermissen?|Ich würde meine Familie vermissen.
Welche Farbe sollte der Himmel morgen haben?|Der Himmel sollte lila sein.
Wenn du mit einem Tier sprechen könntest, welches würdest du wählen?|Ich würde mit einem Hund sprechen.
Was wäre ein lustiger Name für einen Drachen?|Er könnte Flammenkeks heißen.
Wenn dein Bett fliegen könnte, wohin würdest du reisen?|Ich würde ans Meer fliegen.
Welche drei Dinge würdest du auf eine Zauberinsel mitnehmen?|Ich würde Essen, ein Buch und meine Familie mitnehmen.
Wenn du ein Geräusch erfinden könntest, wie würde es klingen?|Es würde wie Lachen und Musik klingen.
Welches Gemüse wäre der beste Superheld?|Die Karotte wäre ein guter Superheld.
Wenn du einen Roboter hättest, was sollte er tun?|Er sollte aufräumen und kochen.
Welche verrückte Regel würdest du für einen Tag einführen?|Alle müssten rückwärts gehen.
Wenn du sehr klein wärst, wo würdest du schlafen?|Ich würde in einer Tasse schlafen.
Wenn du sehr groß wärst, was würdest du zuerst machen?|Ich würde über die Häuser schauen.
Welche Sprache sollten Katzen sprechen?|Katzen sollten Deutsch sprechen.
Wenn du ein neues Fest erfinden könntest, was würde man feiern?|Man würde den Familientag feiern.
Was wäre ein lustiger Beruf für einen Pinguin?|Er könnte Eisverkäufer sein.
Wenn dein Frühstück lebendig wäre, was würde passieren?|Mein Brot würde vom Tisch laufen.
Welche Maschine sollte es unbedingt geben?|Eine Maschine, die Zimmer aufräumt.
Wenn du einen Planeten benennen dürftest, wie würde er heißen?|Er würde Lachland heißen.
Was würdest du tun, wenn du morgen in einem Schloss aufwachst?|Ich würde alle Zimmer erkunden.
Welche zwei Tiere würdest du miteinander mischen?|Ich würde einen Hund mit einem Adler mischen.
Was wäre das lustigste Schulfach?|Drachenfliegen wäre das lustigste Fach.
Erfinde eine kurze lustige Geschichte.|Ein Elefant fuhr mit dem Fahrrad zur Schule.
