# Question|Suggested answer
Was würdest du mit einer Million Euro machen?|Ich würde ein Haus kaufen und reisen.
Welches Haustier würdest du wählen?|Ich würde einen Hund wählen.
Wen würdest du gern treffen?|Ich würde einen berühmten Koch treffen.
Welche Sprache würdest du gern sprechen?|Ich würde gern Spanisch sprechen.
Wohin würdest du morgen reisen?|Ich würde nach Italien reisen.
Was würdest du auf eine einsame Insel mitnehmen?|Ich würde Wasser, Essen und ein Messer mitnehmen.
Welchen Beruf würdest du gern ausprobieren?|Ich würde gern Pilot sein.
Was würdest du an deinem Zuhause verändern?|Ich würde einen größeren Balkon bauen.
Welches Instrument würdest du gern lernen?|Ich würde gern Gitarre lernen.
Was würdest du kochen, wenn Gäste kommen?|Ich würde Pasta kochen.
Welchen Film würdest du gern noch einmal sehen?|Ich würde meinen Lieblingsfilm noch einmal sehen.
Was würdest du tun, wenn du einen freien Tag hättest?|Ich würde ausschlafen und spazieren gehen.
Welches Buch würdest du empfehlen?|Ich würde ein spannendes Abenteuerbuch empfehlen.
Welche drei Dinge würdest du niemals weggeben?|Ich würde meine Fotos, Bücher und Erinnerungen behalten.
Was würdest du tun, wenn du dich verirrst?|Ich würde nach dem Weg fragen.
Welche Stadt würdest du gern bewohnen?|Ich würde gern in Wien wohnen.
Was würdest du lernen, wenn du mehr Zeit hättest?|Ich würde besser Klavier spielen lernen.
Welches Essen würdest du jeden Tag essen?|Ich würde jeden Tag Obst essen.
Was würdest du tun, wenn du nicht arbeiten müsstest?|Ich würde mehr Zeit mit meiner Familie verbringen.
Welche Jahreszeit würdest du verlängern?|Ich würde den Sommer verlängern.
Was würdest du jemandem zum Geburtstag schenken?|Ich würde ein persönliches Geschenk schenken.
Welches Problem würdest du gern lösen?|Ich würde gern weniger Müll produzieren.
Was würdest du tun, wenn du berühmt wärst?|Ich würde gute Projekte unterstützen.
Welche Regel würdest du in der Schule ändern?|Ich würde längere Pausen einführen.
Was würdest du gern besser können?|Ich würde gern fließend Deutsch sprechen.
Welches Abenteuer würdest du gern erleben?|Ich würde gern eine Safari machen.
Was würdest du tun, wenn du keine Angst hättest?|Ich würde etwas ganz Neues ausprobieren.
Welche Person würdest du um Rat fragen?|Ich würde meine Mutter um Rat fragen.
Was würdest du morgen anders machen?|Ich würde früher aufstehen.
Wie würdest du deinen perfekten Tag verbringen?|Ich würde mit meiner Familie reisen, essen und lachen.
