# Question|Suggested answer
Wohin reist du gern?|Ich reise gern ans Meer.
Was war dein schönster Urlaub?|Mein schönster Urlaub war in Portugal.
Fährst du lieber mit dem Auto oder dem Zug?|Ich fahre lieber mit dem Zug.
Fliegst du gern?|Ja, aber nur bei kurzen Flügen.
Welches Land möchtest du besuchen?|Ich möchte Japan besuchen.
Was packst du in deinen Koffer?|Ich packe Kleidung und eine Zahnbürste ein.
Was darf im Urlaub nicht fehlen?|Eine Kamera darf nicht fehlen.
Reist du lieber im Sommer oder im Winter?|Ich reise lieber im Sommer.
Übernachtest du lieber im Hotel oder in einer Ferienwohnung?|Ich mag Ferienwohnungen lieber.
Was machst du gern am Strand?|Ich schwimme und baue Sandburgen.
Welche Stadt möchtest du sehen?|Ich möchte Berlin sehen.
Wie fragst du nach dem Weg?|Entschuldigung, wo ist der Bahnhof?
Wie bestellst du ein Ticket?|Ein Ticket nach Wien, bitte.
Was machst du am Flughafen zuerst?|Ich gebe mein Gepäck ab.
Was nimmst du ins Handgepäck?|Ich nehme Wasser und ein Buch mit.
Mit wem reist du am liebsten?|Ich reise am liebsten mit meiner Familie.
Was isst du gern im Urlaub?|Ich probiere gern lokale Gerichte.
Welche Sprache sprichst du auf Reisen?|Ich spreche meistens Englisch.
Was war deine längste Reise?|Meine längste Reise dauerte zwei Wochen.
Magst du Berge oder Meer lieber?|Ich mag das Meer lieber.
Was fotografierst du im Urlaub?|Ich fotografiere Landschaften.
Was machst du, wenn du dich verirrst?|Ich frage nach dem Weg.
Welche Reise war besonders lustig?|Unsere Familienreise nach Madeira war lustig.
Was kaufst du als Souvenir?|Ich kaufe gern Magnete.
Wie bereitest du eine Reise vor?|Ich buche Unterkunft und plane die Route.
Was ist beim Reisen wichtig?|Ein Ausweis und gute Planung sind wichtig.
Welches Verkehrsmittel ist am bequemsten?|Der Zug ist für mich am bequemsten.
Was möchtest du auf deiner nächsten Reise machen?|Ich möchte wandern und schwimmen.
Warum reist du gern?|Ich entdecke gern neue Orte.
Beschreibe deinen Traumurlaub.|Mein Traumurlaub ist sonnig, ruhig und spannend.
