# Question|Suggested answer
Wie hast du geschlafen?|Ich habe gut geschlafen.
Wann bist du heute aufgestanden?|Ich bin um sieben Uhr aufgestanden.
Was hast du geträumt?|Ich habe von einem Urlaub geträumt.
Hast du gut geschlafen?|Ja, ich habe gut geschlafen.
Was möchtest du heute machen?|Ich möchte heute mit meiner Familie spielen.
Was isst du normalerweise zum Frühstück?|Ich esse normalerweise Brot und Obst.
Was hast du heute gefrühstückt?|Ich habe Brot mit Käse gefrühstückt.
Trinkst du lieber Tee oder Kaffee?|Ich trinke lieber Tee.
Welche Kleidung trägst du heute?|Ich trage heute ein T-Shirt und eine Hose.
Wie ist das Wetter heute?|Heute ist es sonnig und warm.
Was nimmst du mit zur Arbeit oder zur Schule?|Ich nehme meine Tasche und eine Wasserflasche mit.
Musst du heute viel arbeiten?|Ja, ich muss heute viel arbeiten.
Worauf freust du dich heute?|Ich freue mich auf den Nachmittag.
Hast du heute Hausaufgaben?|Ja, ich habe heute Hausaufgaben.
Welche Farbe hat dein T-Shirt?|Mein T-Shirt ist blau.
Wer hat heute gute Laune?|Heute haben wir alle gute Laune.
Was machst du jeden Morgen zuerst?|Ich stehe auf und öffne das Fenster.
Putzt du dir morgens die Zähne?|Ja, ich putze mir morgens die Zähne.
Wer macht das Frühstück?|Heute macht Papa das Frühstück.
Welche Jahreszeit magst du am Morgen?|Ich mag den Frühling am Morgen.
Magst du früh aufstehen?|Nein, ich stehe nicht gern früh auf.
Was riechst du am Morgen?|Ich rieche frischen Kaffee.
Welches Obst isst du gerne zum Frühstück?|Ich esse gerne einen Apfel zum Frühstück.
Hast du heute einen Plan?|Ja, ich möchte heute lernen und spielen.
Was macht dich morgens glücklich?|Ein gutes Frühstück macht mich morgens glücklich.
Was hörst du morgens gern?|Ich höre morgens gern Musik.
Mit wem frühstückst du am liebsten?|Ich frühstücke am liebsten mit meiner Familie.
Welche Schuhe trägst du heute?|Ich trage heute meine Turnschuhe.
Was möchtest du heute lernen?|Ich möchte heute neue deutsche Wörter lernen.
Wie fühlst du dich heute Morgen?|Ich fühle mich heute Morgen gut und fröhlich.
