# Question|Suggested answer
In welchem Zimmer bist du am liebsten?|Ich bin am liebsten im Wohnzimmer.
Wie viele Zimmer hat eure Wohnung?|Unsere Wohnung hat vier Zimmer.
Welche Farbe hat dein Zimmer?|Mein Zimmer ist blau.
Was steht in deinem Schlafzimmer?|Dort stehen ein Bett und ein Schrank.
Wo isst deine Familie zusammen?|Wir essen in der Küche.
Hast du einen Balkon?|Ja, wir haben einen kleinen Balkon.
Was steht auf deinem Schreibtisch?|Auf meinem Schreibtisch steht ein Computer.
Wer räumt dein Zimmer auf?|Ich räume mein Zimmer selbst auf.
Welche Hausarbeit machst du gern?|Ich decke gern den Tisch.
Welche Hausarbeit magst du nicht?|Ich putze nicht gern die Fenster.
Wo bewahrt ihr die Lebensmittel auf?|Wir bewahren sie im Kühlschrank auf.
Was hängt an eurer Wand?|An der Wand hängen Familienfotos.
Hast du Pflanzen zu Hause?|Ja, wir haben drei Pflanzen.
Welches Möbelstück benutzt du oft?|Ich benutze oft den Esstisch.
Wo liegen deine Schlüssel?|Meine Schlüssel liegen im Flur.
Was machst du im Wohnzimmer?|Ich lese und sehe fern.
Wie sieht eure Küche aus?|Sie ist hell und modern.
Was fehlt in deinem Traumhaus nicht?|Ein großer Garten darf nicht fehlen.
Wohnst du lieber in einer Wohnung oder einem Haus?|Ich wohne lieber in einem Haus.
Was hörst du gerade zu Hause?|Ich höre leise Musik.
Wo machst du deine Hausaufgaben?|Ich mache sie am Schreibtisch.
Wer gießt die Pflanzen?|Meine Tochter gießt die Pflanzen.
Was befindet sich neben deinem Bett?|Neben meinem Bett steht eine Lampe.
Wie oft putzt ihr die Wohnung?|Wir putzen einmal pro Woche.
Was machst du, wenn etwas kaputtgeht?|Ich versuche es zu reparieren.
Welcher Raum ist morgens am wichtigsten?|Die Küche ist morgens am wichtigsten.
Was würdest du zu Hause verändern?|Ich würde das Wohnzimmer größer machen.
Hast du einen Lieblingsplatz zu Hause?|Ja, mein Lieblingsplatz ist das Sofa.
Was macht ein Zuhause gemütlich?|Warme Lichter und Familie machen es gemütlich.
Beschreibe dein Zuhause mit drei Wörtern.|Es ist ruhig, hell und gemütlich.
