# Question|Suggested answer
Wie war dein Tag?|Mein Tag war schön und interessant.
Was war heute das Schönste?|Das Schönste war die Zeit mit meiner Familie.
Was war heute schwierig?|Die Hausaufgaben waren heute schwierig.
Worüber bist du heute glücklich?|Ich bin über einen schönen Tag glücklich.
Was möchtest du morgen machen?|Ich möchte morgen draußen spielen.
Hast du heute etwas Neues gelernt?|Ja, ich habe heute ein neues deutsches Wort gelernt.
Wem möchtest du heute Danke sagen?|Ich möchte meiner Familie Danke sagen.
Was hat dich heute überrascht?|Ein unerwarteter Besuch hat mich überrascht.
Was möchtest du morgen essen?|Ich möchte morgen Pizza essen.
Hast du heute jemandem geholfen?|Ja, ich habe heute einem Freund geholfen.
Wer hat dir heute geholfen?|Meine Familie hat mir heute geholfen.
Was würdest du heute anders machen?|Ich würde heute früher anfangen.
Welchen Film möchtest du sehen?|Ich möchte einen lustigen Familienfilm sehen.
Welches Buch liest du gerade?|Ich lese gerade ein spannendes Kinderbuch.
Was machst du vor dem Schlafengehen?|Ich putze meine Zähne und lese ein Buch.
Wann gehst du heute schlafen?|Ich gehe heute um neun Uhr schlafen.
Worauf freust du dich morgen?|Ich freue mich morgen auf die Schule.
Was war heute dein Lieblingsmoment?|Mein Lieblingsmoment war das gemeinsame Abendessen.
Was hast du heute gespielt?|Ich habe heute ein Brettspiel gespielt.
Mit wem hast du heute gesprochen?|Ich habe heute mit meiner Familie gesprochen.
Was möchtest du morgen lernen?|Ich möchte morgen neue deutsche Sätze lernen.
Bist du heute müde?|Ja, ich bin heute ein bisschen müde.
Was macht dich abends glücklich?|Ein ruhiger Abend mit meiner Familie macht mich glücklich.
Was hörst du vor dem Schlafen?|Ich höre vor dem Schlafen eine Geschichte.
Welche Geschichte magst du?|Ich mag lustige Abenteuergeschichten.
Wofür bist du heute dankbar?|Ich bin heute für meine Familie dankbar.
Was war heute besonders?|Das gemeinsame Spielen war heute besonders.
Wer hat heute viel gelacht?|Wir haben heute alle viel gelacht.
Was möchtest du träumen?|Ich möchte von einer schönen Reise träumen.
Was war heute dein größter Erfolg?|Mein größter Erfolg war eine schwierige Aufgabe zu lösen.
