# Question|Suggested answer
Was machst du in deiner Freizeit?|Ich lese und fahre Fahrrad.
Hast du ein Hobby?|Ja, mein Hobby ist Kochen.
Welchen Sport magst du?|Ich mag Schwimmen.
Spielst du ein Instrument?|Ja, ich spiele Klavier.
Liest du gern Bücher?|Ja, ich lese jeden Abend.
Welches Buch magst du besonders?|Ich mag Abenteuergeschichten.
Spielst du gern Brettspiele?|Ja, besonders mit meiner Familie.
Wie oft treibst du Sport?|Ich treibe zweimal pro Woche Sport.
Was malst oder bastelst du gern?|Ich male gern Tiere.
Hörst du gern Musik?|Ja, ich höre jeden Tag Musik.
Welche Musik magst du?|Ich mag Popmusik.
Tanzt du gern?|Ja, ich tanze sehr gern.
Sammelst du etwas?|Ich sammle Postkarten.
Was machst du draußen gern?|Ich gehe gern wandern.
Welches Hobby möchtest du ausprobieren?|Ich möchte fotografieren lernen.
Mit wem teilst du dein Hobby?|Ich teile es mit meiner Tochter.
Was brauchst du für dein Hobby?|Ich brauche Papier und Stifte.
Wann hast du Zeit für dein Hobby?|Am Wochenende habe ich Zeit.
Welches Hobby ist teuer?|Reiten kann teuer sein.
Welches Hobby kostet fast nichts?|Spazierengehen kostet nichts.
Was macht dir beim Hobby am meisten Spaß?|Ich kann dabei kreativ sein.
Hast du schon einmal etwas gewonnen?|Ja, ich habe ein Spiel gewonnen.
Was kannst du anderen beibringen?|Ich kann anderen Kochen beibringen.
Welches Hobby hattest du als Kind?|Als Kind habe ich gern Fußball gespielt.
Verbringst du deine Freizeit lieber drinnen oder draußen?|Ich bin lieber draußen.
Was machst du bei schlechtem Wetter?|Ich lese oder spiele ein Spiel.
Welches Hobby entspannt dich?|Lesen entspannt mich.
Welches Hobby ist gut für die Gesundheit?|Schwimmen ist gesund.
Warum sind Hobbys wichtig?|Sie machen Spaß und entspannen.
Beschreibe dein Lieblingshobby mit drei Wörtern.|Es ist kreativ, spannend und entspannend.
