# Question|Suggested answer
Wer gehört zu deiner Familie?|Zu meiner Familie gehören meine Eltern und mein Kind.
Hast du Geschwister?|Ja, ich habe einen Bruder.
Wie heißt deine Mutter?|Meine Mutter heißt Anna.
Wie heißt dein Vater?|Mein Vater heißt Paul.
Wer ist die lustigste Person in deiner Familie?|Mein Vater ist am lustigsten.
Mit wem verbringst du am liebsten Zeit?|Ich verbringe gern Zeit mit meiner Familie.
Was macht deine Mutter gern?|Sie liest gern Bücher.
Was kann dein Vater gut?|Er kann gut kochen.
Wer kocht bei euch am besten?|Meine Frau kocht am besten.
Was macht ihr am Wochenende zusammen?|Wir gehen spazieren.
Hast du Großeltern?|Ja, ich habe zwei Großmütter.
Wo wohnen deine Großeltern?|Sie wohnen in Rumänien.
Wie oft besuchst du deine Familie?|Ich besuche sie jeden Sommer.
Wer hilft dir oft?|Meine Familie hilft mir oft.
Wem erzählst du deine Geheimnisse?|Ich erzähle sie meiner Frau.
Was spielst du gern mit deiner Familie?|Wir spielen gern Brettspiele.
Wer steht morgens zuerst auf?|Mein Vater steht zuerst auf.
Wer geht abends zuletzt schlafen?|Meine Mutter geht zuletzt schlafen.
Was isst deine Familie gern?|Wir essen gern Pizza.
Welche Tradition hat deine Familie?|Wir feiern Weihnachten zusammen.
Wer bringt dich zum Lachen?|Meine Tochter bringt mich zum Lachen.
Was hast du von deinen Eltern gelernt?|Ich habe Geduld gelernt.
Welche Person in deiner Familie bewunderst du?|Ich bewundere meine Mutter.
Wie feiert ihr Geburtstage?|Wir essen Kuchen und singen.
Wer erzählt die besten Geschichten?|Mein Großvater erzählt die besten Geschichten.
Was macht deine Familie besonders?|Wir helfen einander immer.
Mit wem telefonierst du oft?|Ich telefoniere oft mit meiner Mutter.
Was möchtest du mit deiner Familie unternehmen?|Ich möchte mit ihnen reisen.
Wofür bist du deiner Familie dankbar?|Ich bin für ihre Liebe dankbar.
Beschreibe deine Familie mit drei Wörtern.|Meine Familie ist liebevoll, lustig und stark.
