# Question|Suggested answer
Was hast du heute zu Mittag gegessen?|Ich habe heute Nudeln zu Mittag gegessen.
Was ist dein Lieblingsessen?|Mein Lieblingsessen ist Pizza.
Kannst du kochen?|Ja, ich kann ein paar Gerichte kochen.
Wer kocht bei euch zu Hause?|Bei uns kochen meistens Mama und Papa.
Isst du lieber Fleisch oder Gemüse?|Ich esse lieber Gemüse.
Was trinkst du zum Mittagessen?|Ich trinke Wasser zum Mittagessen.
Magst du Suppe?|Ja, ich mag Suppe.
Was möchtest du heute Abend essen?|Ich möchte heute Abend Reis mit Gemüse essen.
Was kannst du gut kochen?|Ich kann gut Nudeln kochen.
Welches Gemüse magst du?|Ich mag Karotten und Tomaten.
Magst du Pizza oder Pasta lieber?|Ich mag Pizza lieber.
Hast du heute Hunger?|Ja, ich habe großen Hunger.
Wie oft gehst du ins Restaurant?|Ich gehe ungefähr einmal pro Woche ins Restaurant.
Was war dein bestes Mittagessen?|Mein bestes Mittagessen war am Meer.
Was isst du nie?|Ich esse nie sehr scharfes Essen.
Welche Früchte magst du?|Ich mag Äpfel, Bananen und Erdbeeren.
Kochst du gerne?|Ja, ich koche sehr gerne.
Welches Getränk magst du am liebsten?|Ich mag Wasser am liebsten.
Isst du gern Salat?|Ja, ich esse gern Salat.
Was möchtest du einmal probieren?|Ich möchte einmal Sushi probieren.
Wer ist der beste Koch in der Familie?|Papa ist der beste Koch in der Familie.
Was hast du heute gelernt?|Ich habe heute neue deutsche Wörter gelernt.
Mit wem isst du am liebsten zu Mittag?|Ich esse am liebsten mit meiner Familie zu Mittag.
Was war heute lustig?|Ein Witz beim Mittagessen war heute lustig.
Hast du heute viel gearbeitet?|Ja, ich habe heute viel gearbeitet.
Was war heute schwierig?|Die Deutschaufgabe war heute schwierig.
Was war heute einfach?|Das Lesen war heute einfach.
Worüber hast du heute gelacht?|Ich habe über einen lustigen Witz gelacht.
Wen hast du heute getroffen?|Ich habe heute meine Freunde getroffen.
Wie war dein Vormittag?|Mein Vormittag war schön und interessant.
